name,description,category,price,stock,image_url
"Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype","About this item 【Industry Leading AI-Powered Environmental Noise Cancellation】EKSAtelecom cutting-edge AI-Powered ENC tech can dynamically detect and nullifies up to 99.8% ambient noise with a broad sound frequency range, and cancels it out before reaching your ears to get crystal-clear communication! 【164 ft Ultra-Long Wireless Connection】This truck driver bluetooth headset with a noise-cancelling microphone features an ultra-long wireless operating range of up to 99 ft / 30 m away for better connectivity, faster transmission, and better stability. (Note: Wireless connection distance can reach even longer distances of 50 m / 164 ft, provided there are no obstacles.) 【Support 57 Hours Work Time & Mute Function】With a large 500mAh battery, It supports up to 30 hours of talk time and 57 hours of continuous music time, and it charges fully in just 1.5 hours. And you can monitor the battery level in your truck headset through your phone. And this wireless bluetooth headset with the mute function, you can click the mute button to toggle on and off the microphone during the call(only for phone calls). 【Wide Compatibility via Bluetooth 5.0 & USB Dongle】The latest Bluetooth tech and powerful built-in Qualcomm Chip of Bluetooth phone headsets ensure a lightning-fast and ultra-stable connection. Just simply with a USB dongle (included!), no extra hassle to connect this EKSAtelecom trucker bluetooth headset to your desired Bluetooth devices & PC or laptop. 【EKSAtelecom CloudSoft Ear Cushions & 24-Month Support】Slip into over-the-ear comfort with soft, breathable, and gentle CloudSoft Ear Cushions. This ergonomic design of trucker headset keeps pressure off your head, preventing soreness or fatigue over time. You can relax in comfort and stay fully productive all day when you use our bluetooth headset with microphone. If you encounter any problems, please kindly contact our professional customer service team.",General,84.99,46,https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg
"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities","LOOGU was founded in 2012 which focus on outdoor, hunting, army, camouflage, sporting goods,and other industries,Our main products are camouflage netting,ghillie suit,rain poncho,camo scarf,camo accessries,tarp,etc. We have specialized in textile fabrics for many years and continuously strive to improve our product design to provide competitive, cost-effective products and services. Thanks for your time and interest, please let us know if we can be of further assistance. Product Details       High Quality Production The camouflage mesh scarf is made of knit workmanship, which is more excellent than other sellers that made of drilling on whole cloth. Edge Workmanship Each camouflage mesh scarf is covered with a edging process so that the threads do not spread out. Two side of the edges are locked by a knitting process. Perfect for All Climate Main Use: Camouflage, resist cold and keep warm, defense sand, Anti-mosquito. The size is super large, it can be covered on the head after unfolding, can be used for tactical camouflage, does not obstruct the line of sight.   Product Real Show   Usage and Scene   NOTIES Please note that we ship from United Kingdom and China.For orders that you receive from China, customs or import fees may be due from a certain value. You can find more information on the ""Help pages"".",General,11.19,24,https://m.media-amazon.com/images/I/61IUzxKSEAL.__AC_SX300_SY300_QL70_ML2_.jpg
"PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and Gold Plastic Plates Include 50PCS Pink Dinner Plates, 50PCS Pink Dessert Plates for Party&Wedding","About this item EXQUISITE DESIGN: Our pink plastic plates use a classic round plates, decorated with a gold line around the edge of the plates. Our pink party plates can help you better arrange the table and make the food look more delicious. VALUE PACKAGE: Our pink disposable plates include 50 pink dinner plates and 50 pink dessert plates, which can meet the dining needs of 50 guests. MANY OCCASIONS FOR USE: Our pink plates for party are very suitable for use at family gatherings, birthday parties, weddings. Our pink and gold plates can help you add a festive atmosphere. SAFE AND NON-TOXIC: Our pink plates are made of food-grade materials and can be used with confidence. Our pink plates disposable are BPA-free, safe and non-toxic. CONVENIENT AND FAST: Our pink and gold plastic plates can help you set the table faster and better display your food. You can just throw it away after the party, saving time and spending more time with family and friends.",Disposable Plates,44.99,5,https://m.media-amazon.com/images/I/81qyHZyO6KL._AC_SL1500_.jpg
"Stahlwille 96410704 Double Ended Ring Wrench Set Corona, 6mm x 7mm to 20mm x 22mm, Shallow Offset, Chrome Alloy Steel, Chrome Plated, No.23/8, 8 pcs","Stahwhile 96410704 Double-ended Ring Wrench Set CORONA with Shallow Offset Heads are made of chrome alloy steel, drop forged, hardened and tempered to provide high torque and added leverage, and polished with chrome finish for protection against rust and corrosion and offers high hardness. This professional wrench set has thin-walled rings and 10-degree shallow ring end offset which facilitate work in confined or tight spaces, perfect hand tool for automotive repair and maintenance, machinery, etc. In addition, the rings are higher than standard nuts - which prevents the spanner seizing on the nut. It also has Anti-Slip Drive (AS Drive) profile which enables high force transmission without damaging the fasteners. While the force acts on the flats of the screws, the corners are left free and are not rounded off. This wrench set is packed in a carton. It includes 6mm x 7mm, 8mm x 9mm, 10mm x 11mm, 12mm x 13mm, 14mm x 15mm, 16mm x 17mm, 18mm x 19mm, and 20mm x 22mm double ended ring wrenches. Made of course in Germany and manufactured under the most stringent quality control conditions and adheres to DIN 897/ISO 10104 specifications. There are many wrenches available. But hardly any that are as well thought out as Stahlwille wrenches. The non-slip finish means all our wrenches fit comfortably in the hand, even when used for long periods of time and when higher forces are applied. By combining high-quality special steels, which are subject to continuous quality controls, with a sophisticated forging process, we make them particularly durable and robust. The thumb groove along the wrench handle eliminates material where there is no stress and concentrates it where it is needed. Similar to the principle of an H-beam in construction, extreme load bearing capacity and maximum flexural strength are achieved with lower weight. As one of only a few manufacturers, Stahlwille offers a comprehensively diverse range of metric, imperial, spline drive and TORX wrenches. Stahlwille's tight manufacturing tolerances and reproducible dimensional accuracy ensure that one Stahlwille wrench is as close-fitting as the next. In this way, both open-jaw and ring wrenches will always firmly hug the fastener head for excellent power-lock.",General,141.1,23,https://m.media-amazon.com/images/I/41SABKadJNL._SY445_SX342_QL70_FMwebp_.jpg
"2Packs 18V Battery and Charger Combo for 18-Volt Cordless Tools Battery and P118B Charger, Cell9102 18V Battery Capacity Output 3.0Ah","About this item The Cell9102 Advantage : Professional power tool battery manufacturing factory, with dozens of research and development team. So that you can use the battery more efficiently to bring convenience to your life What You Get : Cell9102 2Packs replacement 18V battery and Charger Starter Kit, 18V 3000mAh lithium Ion P108 and P118B 18V battery charger Ultra-High Capacity : This item replacement 18V battery has a Extended capacity of 3,000 mAh and use high-quality lithium-ion cells Certified Safe : Cell9102's replacement 18V battery and charger has MultiProtect safety system ensures complete protection for you and your devices Performance : The Replacement 18V battery and charger use high quality battery cell made by integrated microchip technology, built-in overcharge, over-discharge protection to extend battery life, batteries are CE FCC, ROHS certified, tested by manufacturer to match or exceed OEM products",General,69.99,25,https://m.media-amazon.com/images/I/71+0zbWSyUL._AC_SY300_SX300_.jpg
"General Tools 3-Pack Retractable Utility Knife WS-1201, Snap-Off Blade, Lightweight Box Cutter, 9mm, Yellow , Grey","Ideal for DIYers, homeowners, handymen, and mechanics, the General Tools #WS-1201 Retractable Utility Knife set gets the job done safer and faster.",General,6.19,9,https://m.media-amazon.com/images/I/51APiaglzLL.__AC_SX300_SY300_QL70_FMwebp_.jpg
"DANIEL SMITH Extra Fine Watercolor Paint, 15ml Tube, Iridescent Antique Copper, 284640009","DANIEL SMITH Extra Fine Watercolors - classic watercolors of unsurpassed purity and permanence. The vision in the formulation of DANIEL SMITH watercolors was twofold​; First and foremost, to produce watercolors that are the best in lightfastness and permanence.Second, to offer a selection of truly unique colors. DANIEL SMITH Watercolors are formulated to meet and exceed the highest industry standards​ for the manufacture of artist’s paints, and every batch made is tested and analyzed for its performance qualities. DANIEL SMITH is truly the worldwide leader of watercolors for artists with 240+ beautiful colors in the 15ml watercolors, the most of any manufacturer​. Many are traditional colors relied upon by all artists, and there are many “truly unique” colors made only by DANIEL SMITH that have become so important to watercolor artists. PrimaTek Watercolors are made from minerals, often semi precious minerals, that have been ground into pigments, mixed with gum arabic (the binder) and milled into PrimaTek Watercolors​. The first was Lapis Lazuli Genuine in 1998, since then, many more have been added such as Amethyst Genuine, Piemontite Genuine and Serpentine Genuine. Most of these colors have wonderful granulating effects that some artists have called “magical”. Luminescent Watercolors have special optical effects perfect for subjects that have a sparkle, sheen, or reflective glow​ like the iridescence of hummingbird feathers or the sheen of metals. Cadmium Hues, DANIEL SMITH has developed safe and vibrant Cadmium Hues with the density and richness of cadmium colors without the cadmium pigment​. Virtually identical in color to their namesakes, they are cleaner in mixtures and much stronger in tints. The working properties – staining power, semi-transparency and excellent lightfastness – are nearly identical to those of the low-soluble cadmium colors DANIEL SMITH previously manufactured. Some unique colors are created exclusively by DANIEL SMITH​ like Cascade Green, Green Gold and Moonglow. DANIEL SMITH also finds unusual pigments to make colors like Mayan Red, Lunar Blue and Enviro-Friendly Red Iron Oxide to provide more choices for artists. Other colors are from pigments DANIEL SMITH has sourced, often from very specific locations, colors like Burgundy Yellow Ochre, Monte Amiata Natural Sienna and Roasted French Ochre. DANIEL SMITH Watercolors are a favorite of artists all over the world​, from professional artists to the beginning watercolorists because of the beautiful colors, consistent performance and lasting color or lightfastness. DANIEL SMITH Watercolors are packed with high quality pigments using pure gum arabic as the binder – no fillers.​ For each color, DANIEL SMITH selects the perfect grind to yield particle sizes that maximize the qualities inherent in the pigment, balancing maximum pigment load with minimum vehicle content. DANIEL SMITH offers many ways to experience their Watercolors as well as providing extra creative means for artists with their Watercolor Grounds, Masking Fluid and Walnut Ink. 15ml Watercolors​, available in more than 240 colors, the most of any manufacturer.5ml Watercolors​, available in 88 of the most popular colors DANIEL SMITH makes.Watercolor Sticks​, 51 popular DANIEL SMITH Watercolors shaped into stick form to draw and paint with, a new way to expressively use watercolors.Watercolor Dot Cards, ​a great way to try DANIEL SMITH Watercolors without buying whole tubes of paint. These are dots of pure DANIEL SMITH Watercolors that reactivate into paint with the touch of a wet brush, allowing artists to easily and cost effectively, try many colors. Two sizes: 238 Dot Card to try nearly the entire line of DANIEL SMITH Watercolors and the 66 Dot Card to try many DANIEL SMITH Watercolors.PrimaTek Watercolors, ​37 PrimaTek Watercolors, made from minerals, many semi-precious, that are ground into pigments and made into unique watercolors. Luminescent Watercolors, ​48 Luminescent Watercolors with optical effects.Watercolor Sets​: Essentials Set, PrimaTek Set, Alvaro Castagnet’s Master Set, Primary and Secondary Sets.Watercolor Ground​, Paint watercolors on any surface when prepared with DANIEL SMITH Watercolor Ground, available in 4 colors; Titanium White, Buff Titanium, Mars Black and Transparent. Watercolor Ground can help “rescue” a watercolor painting when applied over a mistake, giving an artist a second chance with a new surface to paint on. When you choose DANIEL SMITH Watercolors and other DANIEL SMITH products, you are choosing the best materials to create with. DANIEL SMITH products are made in the USA, in Seattle, Washington for artists worldwide.",General,13.52,44,https://m.media-amazon.com/images/I/41KkAB9hG9L.__AC_SX300_SY300_QL70_FMwebp_.jpg
"NZND Case for At&t Motivate 3 (3rd Version)/ Motivate 2 (2nd)/ Cricket Icon 3/ Cricket Splendor with Tempered Glass Screen Protector, Ring Holder/Wrist Strap, Glitter Liquid Cute Case (Pink/Aqua)","NZND Glitter Flowing Liquid Floating Gradient Colorful with Sparkling Bling Diamond, Durable Girls Women Cute Case.",General,13.98,31,https://m.media-amazon.com/images/I/81ZMjkEAdkL._AC_SX679_.jpg
"Braun SE5-895 Epilator, Hair Removal Device, Epilator for Women, Includes Shaver and Facial Cleansing Exfoliator Brush Attachments, Waterproof, Cordless and Rechargeable","Introducing the beauty set 5, The Starter 5-in-1 hair removal & Beauty set for face and body. Epilate, shave, trim, cleanse, exfoliate and apply creams and makeup. 1x Body exfoliation brush Attachment removes dead skin cells, to prevent ingrown hairs. Epilator removes 4x shorter hair than wax for up to 4 weeks of smooth skin. Includes a shaver & trimmer attachment for hair removal in sensitive areas. 3x Facial brush attachments to cleanse and exfoliate. Cordless use up to 30 mins. 100% wet and dry. Use in the bath or shower to reduce discomfort. Epilation is virtually painless with regular use. Braun Epilators (SE5, SE7, SE9, SE9 Flex) are GreenCircle certified as a ‘sustainable solution with certified energy savings’. The other accessories and attachments in the box were not assessed by GreenCircle.",General,94.94,32,https://m.media-amazon.com/images/I/41DMoSGOcoL._SX300_SY300_QL70_FMwebp_.jpg
Aqua Select Resin Step in a Box White | Ultra Sturdy Steps,"The Aqua Select Resin Steps are ultra-sturdy due to their injection molding and integrated segment construction for superior strength. The steps will not sag or flex as well as requiring no weights to keep it in place. With the included handrails and bracket you can mount them to your pool deck. Also included is a complimentary 56"" x 46"" liner guard to protect your steps and the pool's bottom liner.",Pool Ladders,399.99,33,https://m.media-amazon.com/images/I/51Os7nTaT4L.__AC_SX300_SY300_QL70_FMwebp_.jpg
Swanson Raw Multi-Glandular for Men 60 Capsules,"Raw Multi-Glandular for Men High quality glandular supplement For a high quality glandular supplement, developed by Swanson Health Products as part of our line of glandular products, try Swanson Premium Raw Multi-Glandular for Men. Back in the 1930s, four key factors led to glandulars becoming popular in the supplement world: the material was abundant to produce these products, the historical rationale for use and the evidence of safety were strong, and their affordability made them particularly attractive. These truths remain today, and because of a strong demand from you Swanson Health Products has developed a full line of glandular products, including our Raw Multi-Glandular for Men supplement (raw orchic, raw prostate, raw heart, raw kidney and raw liver tissues). All of our glandular products are frozen when raw to preserve active components then desiccated (dried), powdered, and defatted in the heartland of America. *These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease. Read more SIMPLIFYING WELLNESS Health &amp; Vitality Our goal is to provide you with science-backed, simplified health and wellness solutions to nurture your wellness journey every day. We believe in health and vitality at every age, which is why our nutrition scientists and innovation experts continually search the globe for better ingredients and new scientific research findings to create vitamins, supplements and wellness products that fit easily into your modern life. CELEBRATING HEALTH Innovation &amp; Research At Swanson, we get it! Nutrition and exercise needs can change due to lifestyle, environment, work, illness, age and more. Our products are inspired by clinical research backed by scientific consensus. Each is formulated to deliver the highest quality with the lowest environmental impact. Our nutritional supplements and wellness products are trusted by healthcare practitioners and consumers worldwide. FOUNDED IN AMERICA Strong Heritage Our story began in Fargo, North Dakota, when a man with a passion for golf was looking to lessen his joint pain. His research into the benefits of vitamins and supplements nurtured a deep commitment to wellness at every age and a desire to share his findings with others. In 1969, our first product was vitamin E to support cardiovascular health and antioxidant activity to neutralize free radicals.* Today, we offer thousands of innovative, science-backed wellness solutions and nutritional supplements that help people live SIMPLY HEALTHIER TOGETHER . Read more GMP-VERIFIED MANUFACTURER Good Manufacturing Practices We take quality seriously, and that's why we are voluntary members of NSF International and follow Good Manufacturing Practices to ensure that our procedures are the best they can be. Quality Testing Our quality testing includes, but is not limited to: Purity (HPLC): testing raw ingredients before manufacturing to make sure that they are pure; we compare to a standard with a known concentration Potency (HPLC): testing finished products to ensure they meet label claims Identity (HPLC, FTIR or HPTLC): testing all raw ingredients; the HPTLC is for botanicals only while all other ingredients are tested through HPLC or FTIR Microbiology (Biolumix): testing all raw ingredients and finished products for aerobic bacterial count, yeast and mold, Salmonella, E. coli and more Heavy Metals &amp; Metal Assays (ICP-MS): testing includes lead, mercury, cadmium, arsenic and more done on all raw ingredients and finished products, plus minerals such as magnesium, calcium and more. Read more PURITY &amp; POTENCY By following strict guidelines, we ensure our products are carefully and rigorously tested for both purity and potency. Third-Party Testing These labs are ISO 17025 Certified. ISO/IEC 17025 is the standard accreditation most labs must hold in order to be deemed technically competent. Laboratories use ISO/IEC 17025 to implement a quality system aimed at improving their ability to consistently produce valid results. Industry Regulations (FDA &amp; FTC) Swanson complies with both Food and Drug Administration (FDA) and the Federal Trade Commission (FTC) guidelines. These ensure that consumers can trust the label information and safety of all our products. Virtually all facets of supplement manufacturing, labeling and marketing are covered by extensive regulations issued and enforced by the FDA and FTC. * These statements have not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, cure or prevent any disease. Read more Read more",General,12.8,48,https://images-na.ssl-images-amazon.com/images/I/61bWRQY-3mL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Dingo Mens Dean Harness Pull On Casual Boots Mid Calf - Black,"A harness and pull-on straps blend with western lines in this classic boot. Dingo makes great boots whether you are looking for fashion or function! Dingo's boot line is full of styles that will please the western and motorcycle crowds. Dingo boots have a reputation for producing tough yet stylish western boots. Dingo boots, the boot people buy by name. Nobody Puts Leather Together Like Dingo!",General,144.95,41,https://m.media-amazon.com/images/I/91Osukc6XBL.__AC_SX395_SY395_QL70_FMwebp_.jpg
Nature's Answer Echinacea Alcohol Free Extract 1 Fluid Ounce | Promotes Overall Wellness | Natural Immune Booster | Inflammatory Reducer,Promotes a healthy immune system,General,12.74,37,https://images-na.ssl-images-amazon.com/images/I/51A5fN9-eRL.__AC_SX300_SY300_QL70_FMwebp_.jpg
